Image,Benign_Probability,Malignant_Probability,Prediction
0cbd8e3d2259f48435fa7eb7f6fb558f7a417c6b.tif,0.414173,0.585827,Malignant
0cf167b3f39ccc5e6bd39437ee327aadffdfefca.tif,0.412228,0.587772,Malignant
0cfcad9bad2600a708ab84f8e42f05e85b365af5.tif,0.412556,0.587444,Malignant
0d084ba9e0e454adcda043f5945e04eea8de2ada.tif,0.411161,0.588839,Malignant
0d79f1f31c33d130ba0375652930a7d564a62aed.tif,0.423586,0.576414,Malignant
0da82f507f9690a9183f2a94f2e6fc08805c5631.tif,0.43596,0.56404,Malignant
0e16e9222350112b877e82b8a3094e6505a86a9e.tif,0.426186,0.573814,Malignant
0e349811980a9931c205bbe0a0bd2b91828bb86e.tif,0.436196,0.563804,Malignant
0e59dcfdaffc1753ba88fbac34a5a6947133d96a.tif,0.430813,0.569187,Malignant
0e8d37df38d129f7f6d77009f823e9466ad51a97.tif,0.414954,0.585047,Malignant
0eadb8b30c403c8ee5b6f8aec0feaa5b20915101.tif,0.451072,0.548928,Malignant
0edc1eb139218af1b389d91a8b7af7eaf64b38a9.tif,0.43414,0.56586,Malignant
0f02f2aded23845ac011ab38b98c4e111f261c04.tif,0.417448,0.582552,Malignant
0f558e19ba8c40d32cd7ab15e04febf27105b80d.tif,0.418326,0.581674,Malignant
0f5f4f22617fc086b6ac688b18b64cd49c5130b5.tif,0.416538,0.583462,Malignant
0ff1590696b9c2c2f9bf33e0b6c6e114751aa042.tif,0.415775,0.584225,Malignant
0ff832ae0cbe30b59e71ed0689406d029371dd3b.tif,0.418515,0.581485,Malignant
1090e43d8573ede89e5f222e1a9198d36d5ff9db.tif,0.444902,0.555098,Malignant
11104d9d18f4d89d91498fe0ef13d47b7fdda039.tif,0.427283,0.572717,Malignant
1154d1696e1dbd7a26aa45a8e0de7ba11ca4ae59.tif,0.398804,0.601196,Malignant
116b1e708e587a6cd359f8242c74df1698365a42.tif,0.41793,0.58207,Malignant
119c34c4f4157dfe8fe960aa0eea9cc7b1fdf830.tif,0.405299,0.594701,Malignant
123de0f7fac9781651087938354149879d98c302.tif,0.446483,0.553517,Malignant
12b6f69a2d8dcddcac243061d8e902f066a1db31.tif,0.41899,0.58101,Malignant
13cab70955bb17ba69030386ec61798a50bb21a3.tif,0.429824,0.570176,Malignant
13eaf8dc521cb0c37692b5e2f0bc23426bbf8053.tif,0.414482,0.585518,Malignant
14068ef09fd4e34e09c6dc1ec569d1954ae29c48.tif,0.407377,0.592622,Malignant
14795ed2e697b5f51b6f5d00553b09500b118de9.tif,0.406492,0.593508,Malignant
148fa0e557d3d9986b0fb4bfe11915e7962e6eae.tif,0.448239,0.551761,Malignant
1518aca9802085bafbafd610dfa6af563a395df9.tif,0.411698,0.588302,Malignant
1680b9331bf363622e67109c26030efc8eccc420.tif,0.413646,0.586354,Malignant
169f7be45b22ad10c8eabcc9739337eba0a524fb.tif,0.445263,0.554737,Malignant
16a40941e12a02dc22b44ef8dcb7a2b31eacf0be.tif,0.405937,0.594063,Malignant
16ca9519f24c64f3c51206a167c095686e59d20b.tif,0.414224,0.585776,Malignant
16f2f8b35b5a76014c2c8d618dd19bee36e8a6b4.tif,0.417465,0.582535,Malignant
171ebf0b2581939dde53e7ead1cb121a899ec928.tif,0.421962,0.578038,Malignant
1722b34db81ce80a0b958690afe886bbf7a4e0da.tif,0.425559,0.574441,Malignant
1792c044d835fb7b97294e7eeba2ce53664d2302.tif,0.406641,0.593359,Malignant
17a4639ea2bcb6d237e141bc09344ab43fe54ed2.tif,0.417224,0.582776,Malignant
17a864afc8f7147a3d604608519ba47397983786.tif,0.442333,0.557667,Malignant
182db1a666378eac6fb89ac301ca285cf0ae99f0.tif,0.421672,0.578328,Malignant
184a8213b80d5fb9b9d2a4ef002edda1c60dc069.tif,0.413865,0.586135,Malignant
18a2bb35e1a75647ebbf08e76899a79238c3b130.tif,0.396792,0.603208,Malignant
1902f75a47655add1d04d06e612475cbbe0f7812.tif,0.422273,0.577727,Malignant
192044cf1b440e7c31ec828c04363c58c42d64ac.tif,0.426394,0.573606,Malignant
1955df1aa406ad9b1391d43feaadecbadaf008b7.tif,0.421941,0.578059,Malignant
19cf1855b882db9b1abdabbe43b73b045ab3e2ca.tif,0.431416,0.568584,Malignant
1a2c35b3991b998c686bb8042a86377304808488.tif,0.433986,0.566014,Malignant
1a86ec7919ed270b0d63d803f6632a0b3645975a.tif,0.43013,0.56987,Malignant
1abdfb30fa8eca4ce9066d569a29b7967accae8d.tif,0.418067,0.581933,Malignant
1ae72bfac44abad222ee4d9b4bddb9f7e844af9d.tif,0.422229,0.577771,Malignant
1b1826d3611d3dee8a3e4f23fade831fbc929b3c.tif,0.448658,0.551341,Malignant
1b1bda499f5982679136bd7905bf032d9961141f.tif,0.420662,0.579338,Malignant
1b32d301760e8a6a3eba0814864552eabac52cb8.tif,0.416434,0.583566,Malignant
1b39227b7f144defa0dee78dc58ba5058618ff88.tif,0.419342,0.580658,Malignant
1b5a77ee9958d1cb20520458827ea41068a7f08b.tif,0.428006,0.571994,Malignant
1b63c9c8a0208a7ab441740d59b8f4408237ac04.tif,0.431004,0.568996,Malignant
1b8ef06091994419d7a5e06e4e2a2bec66ae904b.tif,0.434649,0.565351,Malignant
1ba55df0a86fbbeb16fe0f677d45f950900bb07b.tif,0.437062,0.562938,Malignant
1c13478785386f3217e3512bc49859250bd6aee7.tif,0.411413,0.588587,Malignant
1c3294e69c4b409dec275cf5e41c4f3f52437504.tif,0.398043,0.601957,Malignant
1d305e051a06718df9794fd1d5cb97258dcc942c.tif,0.398969,0.601031,Malignant
1d6c4adba843f5ef08351065d06b175ef821f273.tif,0.447708,0.552292,Malignant
1d7094024563decb3c00859c4711b732046c1f05.tif,0.429914,0.570086,Malignant
1db64552500415ad19f9faded7f2b69a47158432.tif,0.399475,0.600525,Malignant
1ddc07ec521c25c171270e402f0753b453e07460.tif,0.407158,0.592842,Malignant
1dff13fcfe1fad7b27db97d6dd51f947806f1579.tif,0.414929,0.585071,Malignant
1e4ba3e4be937c1a155238566d1353fe973d7b57.tif,0.405687,0.594313,Malignant
1eab8a3363c7d96b8d9302fadf9a30c3a3bfc74b.tif,0.407355,0.592645,Malignant
1f10e72ef4f7d23ce72166d8b6129739fe381ab4.tif,0.419049,0.580951,Malignant
1f11c1dadbfef05ed65841eeabd40b39644e17f6.tif,0.421998,0.578002,Malignant
1fdbb2275665b412df687002d427633c08b91bde.tif,0.412744,0.587256,Malignant
1ff002fc76ed4add585b5eea3580f9c0c5ca3dbd.tif,0.411784,0.588216,Malignant
201b08457f5a00773801d58543d685ce06c5d251.tif,0.401815,0.598185,Malignant
208d7b4bb89f67b8962bdf3cd02369f98f5357f9.tif,0.395401,0.604598,Malignant
20ba789e0918ffa908ac2d7f599e9771e5f28a45.tif,0.434824,0.565176,Malignant
2104b002c12a72429fe25e20078481f92e227a3c.tif,0.412158,0.587842,Malignant
211eb429bf800961a6b96e73fa1c541e8f275757.tif,0.426637,0.573363,Malignant
21d38ea99c007ac7bda6e607919da0994004badd.tif,0.414352,0.585648,Malignant
221723ad99f7ab2c9ef6738c3d52e9afc0b07efb.tif,0.422946,0.577054,Malignant
224b1e06a953d226cd412e2389b03dcda2d8ee70.tif,0.423552,0.576448,Malignant
2273a890d73558457656a5587a681dde6ed501dc.tif,0.41821,0.58179,Malignant
23015b517d3c1d1a2a31e50cd17dc2c8549bdbbe.tif,0.401869,0.598131,Malignant
239606d92dd1e51492f259896ea5bdbc82725afc.tif,0.411617,0.588383,Malignant
23b4a11bbb251b5f72090923699d4da5ee411480.tif,0.416669,0.583331,Malignant
23dd4348450ddaccbc2509eb5276ed6bb60b163d.tif,0.406709,0.593291,Malignant
23ef71cd1935a15505fb647359c1ddc688b4cdc8.tif,0.411202,0.588798,Malignant
240bdc529ebec15910506018cd10c8f1f313f4f0.tif,0.419873,0.580126,Malignant
2425056e3e01efaaa2861bf3f0ee3bbabb90a898.tif,0.405906,0.594094,Malignant
2486d67cccceec3663854f4aef51350c22042692.tif,0.418256,0.581744,Malignant
254e4a5d071249d1645e9c12c3c026d1f67de1e0.tif,0.415846,0.584154,Malignant
2633a700c22dc0ce4d81e4ba94e3b428f9231c10.tif,0.417386,0.582614,Malignant
26648bfe7aaec6f99ef25992d2ce46d5e9aa9940.tif,0.424141,0.575859,Malignant
269143f1d980cabc2331ba65d24ed3036ac3e43f.tif,0.427536,0.572464,Malignant
26f6d4e204fa337cd2dbd86ccb82e04469246769.tif,0.411479,0.588521,Malignant
274ea4ae94295f8af5413c54f8b19a51de2fd48f.tif,0.444255,0.555745,Malignant
27b2786109b83f50e54a1c116ed8ab60bbf52b2d.tif,0.427663,0.572337,Malignant
28294f75566149d2c78033328bda398cdb934dd6.tif,0.429338,0.570662,Malignant
285d25ee11fbb5373363c69b3993102dc0e4190c.tif,0.413434,0.586566,Malignant
28b8a6b5b5f28f0963cc7ca5ebe396310bc917d3.tif,0.404698,0.595302,Malignant
293d6727292c7dad2ae582673d1ef87d2261db40.tif,0.436679,0.563321,Malignant
29674726d8a81e5583f9263fb926acf36a2c21fd.tif,0.430784,0.569216,Malignant
29badac58315e7f18769488186f83617b856691b.tif,0.414643,0.585357,Malignant
2a3e4eeec59f547bf44391c9adc9a8a5f2fcfe02.tif,0.397329,0.602671,Malignant
2a3fb7aec88b8b7f3c303a0c6d154406c4eaf02d.tif,0.417716,0.582284,Malignant
2adae1de86bcaa43d884121a71bc86b0472a7f12.tif,0.409151,0.590849,Malignant
2b06cbeae796573cb92ce46ccdba301100e37a44.tif,0.41494,0.58506,Malignant
2b204a35696224e1e4885967f80e4807ec470c36.tif,0.407218,0.592782,Malignant
2b7045851111b9c8ff33e56a08afb82ff8326087.tif,0.422264,0.577736,Malignant
2b81c3795ddf58a6a3a659a7456739bde494caba.tif,0.414212,0.585788,Malignant
2c54fdc1c263c0f0b980c029da6d00ffbdf98947.tif,0.421327,0.578673,Malignant
2c5b6f068f69b6c668673ccb3d9f00760ff1d9a2.tif,0.416684,0.583316,Malignant
2c903d9d8fd98089e7c94bf4e0d0c1cdb640490b.tif,0.426364,0.573636,Malignant
2cd24f73b80ac23a45d585db7014cbc9c08387cd.tif,0.422877,0.577123,Malignant
2ce167a174a6786ce0259159c55e75b98f3d1672.tif,0.418753,0.581247,Malignant
2cf0f1a6a0b72c9f7e432030b77b9927631cef56.tif,0.410609,0.589391,Malignant
2d084269f106ce9802410bca31f713976463523f.tif,0.434975,0.565025,Malignant
2d89bc58a17f5985c4061c3f174e98714a5679fa.tif,0.403051,0.596949,Malignant
2ee265917f45bd920a7f360a98d367efd93eccfc.tif,0.42454,0.57546,Malignant
2ee619a359988ada5bbe6884359d5429c38c6949.tif,0.434494,0.565506,Malignant
2f1dfe143e90ae695c4e5536b5c18be929d30804.tif,0.419053,0.580947,Malignant
2f944219a65fa7a7210ced8977ae67075dc5ee1b.tif,0.437247,0.562753,Malignant
2fa52f5998200c276e30143247579d4f28776dbb.tif,0.40704,0.59296,Malignant
2fa5d6e125869d7ab4aa5bf4912e39a874ddee11.tif,0.411627,0.588373,Malignant
2fc16fac2ecfb2c8d2489de84f4041170ea77065.tif,0.400597,0.599403,Malignant
3020c2203ad78b1910a32b43493c8f32af28282a.tif,0.419275,0.580725,Malignant
30431d612d85bd9b0b2518eb2a1decb001527095.tif,0.415073,0.584927,Malignant
30b0a1463f1b794e0d338405671c14077e37d72f.tif,0.417224,0.582776,Malignant
30c724d1e15116a218002533e65f53802bba917f.tif,0.39888,0.60112,Malignant
30cab9e90df292603a60f5bd59f2cde86bab172e.tif,0.414202,0.585798,Malignant
31234755b94e3e4ac916b8ce2242b5719c8ba403.tif,0.415339,0.584661,Malignant
317edf0f8ca58b3db10837ee8756eab2362c1d67.tif,0.427468,0.572532,Malignant
31862fe6c11c03a2eff0e1e56305bcbab3fffea6.tif,0.430202,0.569798,Malignant
319bffb5e9476414bfa8550a8b8ddf9cf1dc853a.tif,0.444502,0.555498,Malignant
31ca038d8eaef2c8b16ef0ddad555076f37cad85.tif,0.415241,0.584759,Malignant
31f2cc5f76f0e60a5770e1c9def0784e68a3839b.tif,0.412841,0.587159,Malignant
33ba31edc476b1bcaa4923d78598666018f4be22.tif,0.412189,0.587811,Malignant
34455d023780eb134972c8799dc0bbab40c1df7b.tif,0.42462,0.57538,Malignant
346bc5b2d383d70dfccb8fe9102c7f55687f5f52.tif,0.417903,0.582097,Malignant
34e28f05329f9721bce51ce10d9ebc1d9f0a5e5a.tif,0.413293,0.586707,Malignant
34fbd06df783a973c543a9740ccac9b511d68d21.tif,0.410307,0.589693,Malignant
3500651debd88a9de5b505df0c4173b18e004022.tif,0.407393,0.592607,Malignant
3508e9438db8c2bab9e8ad337e6130c5a0cec956.tif,0.42342,0.57658,Malignant
351a3443fe5b103974209cf4993ae1ee185be576.tif,0.418892,0.581108,Malignant
351daa75d1974d83dbf66c8913417fb7148f1094.tif,0.415182,0.584818,Malignant
3578144ab1523acaab561b77d536a770e59a888c.tif,0.422196,0.577804,Malignant
35eceb5861354cb7b2527b813ec3553a8749c724.tif,0.445371,0.554629,Malignant
360fe0c1bad0a44a2a5ab976c2832c0a615fb90c.tif,0.407338,0.592662,Malignant
3623c89f2b5a67beadb5280c1d2efb27f28fa233.tif,0.41519,0.58481,Malignant
36462aa4bb36140d96a252bd2ea6692ba9b2831e.tif,0.421911,0.578089,Malignant
364904aff5735c123317346656e1b5e9a365fde1.tif,0.416967,0.583033,Malignant
36f45e55bbc2bf9b7434ae2d877f3cdd4bb9e537.tif,0.416468,0.583532,Malignant
36f64448a7eb1310b48c5d26e6b28c411a1936fc.tif,0.431834,0.568166,Malignant
3710f1062ec848da904442e2c2a7e4102643ce16.tif,0.422639,0.577361,Malignant
37a3a7d33e814853fda588da04c9ac657f661984.tif,0.426774,0.573226,Malignant
37adf1da9d0b1722dfae3bef920c1c32cd322deb.tif,0.420113,0.579887,Malignant
37f7e0a1de34ac50aad0fdae8b51d74738e700d5.tif,0.402135,0.597865,Malignant
380427a601058f65587cd338939996d236b83eed.tif,0.40359,0.59641,Malignant
38277151862870436fcb4c0b592327c291d411b0.tif,0.413388,0.586612,Malignant
384e944f64abb9843471079808e2485b3382c3a1.tif,0.421435,0.578565,Malignant
3867839f04960e2c4b3038bf30b7e09ae1bf92e9.tif,0.404443,0.595557,Malignant
388a52c26e60a852df201ef31a8cde3a944de095.tif,0.425843,0.574157,Malignant
38966b2f68e972c21c4c4c2fe06bba8126b60b0f.tif,0.415169,0.584831,Malignant
38df0613cd0e0937346429eb68397938615c2095.tif,0.428981,0.571019,Malignant
38ecbde4b9e2c158e5937400faa36a74126a2779.tif,0.403046,0.596954,Malignant
39572f5868eef0d1057ad52d89fdd61b272dec74.tif,0.41287,0.58713,Malignant
399e132f63c613e0c0cf9a8ddcf64fa42c0c6071.tif,0.400791,0.599209,Malignant
39dcb430620431e73b4ad3796bd33b291e24fcc5.tif,0.412883,0.587117,Malignant
39de11f2263722d517543337bd75e7c57ce24cdf.tif,0.427951,0.572049,Malignant
3a1b1d0b0a99d80be8918a366372d2b5adedb0c3.tif,0.398371,0.601629,Malignant
3a8ad4b821561ca94f9d1f8c6a6edaf5bb4dac7c.tif,0.410472,0.589528,Malignant
3a8e96ec16b1a38d79155398044bb67a745ba6e4.tif,0.420407,0.579593,Malignant
3aeeebb4b939944d74f9a7d135019a949dbcacda.tif,0.401847,0.598153,Malignant
3b0418f11283d1f8bdf1080a091c05b8d733c8bb.tif,0.429366,0.570634,Malignant
3b35fae2f2de696c60617b56ad6d69cceb885ca9.tif,0.431319,0.568681,Malignant
3b60e7a9f4b5ee7c8e73acbd9c8dee64200cd766.tif,0.425793,0.574207,Malignant
3c977c29351e9732997d1440f85c0dd32e534ae0.tif,0.4405,0.5595,Malignant
3cb2e70658f14bafe064eacd6ca4cfb01e63d610.tif,0.421116,0.578884,Malignant
3d7858c3c12be5ff12ac16f54d3336ca19f6d87b.tif,0.4173,0.5827,Malignant
3d891231f2b573514906f97396891978c2b73dd5.tif,0.422189,0.577811,Malignant
3dd313b6c74a587c232496851d9563f90659e221.tif,0.417183,0.582817,Malignant
3e165ba3b5594600ef2645f20bee794e0aa968ad.tif,0.412204,0.587796,Malignant
3f0a776fadd01dce3ba22303e29817342462cb5f.tif,0.418898,0.581102,Malignant
3f19b0f723233c26b24b8a2a0161964db32f44a2.tif,0.418242,0.581758,Malignant
3f961590feeda91113bc52fb73c8eb134f07a032.tif,0.427359,0.572641,Malignant
3fa579965b25afde6211a35140ca0f954af6e7be.tif,0.424408,0.575592,Malignant
400a2aafe0e25754e90976e26797fe1f33eac134.tif,0.400738,0.599262,Malignant
40313eedc7e1ca202fc6405027d94385fe20fe43.tif,0.428053,0.571947,Malignant
403cb502b5fb60e364d99598326d9a6ea92a2334.tif,0.451592,0.548408,Malignant
409afb61059adec74ccb7975704c7d9b92b20cf0.tif,0.406045,0.593955,Malignant
40a1713f28a9b16650a0ade4727263aefc385568.tif,0.394435,0.605565,Malignant
40c0df390b13af968ffe2bb0e64111beedeaa1a3.tif,0.452391,0.547609,Malignant
41166bf4de6210b3e4a00f5e64836f654ce2c69f.tif,0.416368,0.583632,Malignant
4125c9a165571a6d21f9da0e31c94570048fef30.tif,0.420064,0.579936,Malignant
412e5de9f663e50b709b825149f967b1e3ed90cc.tif,0.431824,0.568176,Malignant
4136ddfeae5ea1c9a51dbf823c4f90bd0181acc7.tif,0.423738,0.576262,Malignant
41dbd4f566969b40e5edf7baa105448461d0de47.tif,0.43554,0.56446,Malignant
41de314293d62c83c5a874fdaad8b1c3349af1a1.tif,0.413914,0.586086,Malignant
421ee76669b5c8f0fff5be7c1bf4ad0c4d532f73.tif,0.414599,0.585401,Malignant
422c079c41a37ee12f18c3ef5afa993d711895ff.tif,0.452614,0.547386,Malignant
42321f92b8e46ce79291137f8606561d107f06bd.tif,0.40858,0.59142,Malignant
424131aae56f1acbb7a99931977f5a54e61ea634.tif,0.444209,0.555791,Malignant
433d3356e0581b1208f1f7f1f57a08fbc3bd012a.tif,0.402633,0.597367,Malignant
4347b7e2797fdb5a3a4640801c648113fc29f7f8.tif,0.422674,0.577326,Malignant
4369ff82cd742ba4f18388d9a4ea5d9d09bce93c.tif,0.418431,0.581569,Malignant
4386b8fa0cffbcb6aa1fd0bfc2297a329c7a1fb3.tif,0.407046,0.592954,Malignant
43b6acadb31161c9281460efa3fad0b992a92837.tif,0.446238,0.553762,Malignant
43f48441942f9872db2407315286c7e2d086e715.tif,0.418723,0.581277,Malignant
44133ca5b1d087e61d9e77711ac6c462aa923574.tif,0.424523,0.575477,Malignant
4439f1773ce0b2dd8b4c0ddba94d53ade75d6084.tif,0.405096,0.594904,Malignant
44992243ff59c457c4ef040c0afee78a07dcbcb4.tif,0.410676,0.589324,Malignant
4546848a12fb86ef4d6eee8ebd70b9509f302d52.tif,0.445015,0.554985,Malignant
458aa61913a1b81dde43398cdd93fed2eed3e054.tif,0.430732,0.569268,Malignant
458c5aa1fc217c08be8d3dbd7336b5c6b1c5b2dc.tif,0.438543,0.561457,Malignant
46bb598f2aefd97556165d7da59951a19450668d.tif,0.444985,0.555015,Malignant
46d696a56d58caab2a0759aa8663d70ecd08d2ee.tif,0.423102,0.576898,Malignant
4714d7550b4eeb38f1ba4c79a465175b43833efb.tif,0.422386,0.577614,Malignant
4730c1964e4a76b9bf8171cf9e373ef064953772.tif,0.40664,0.59336,Malignant
4750459fb15df6bd41cef98014939538f53b6ece.tif,0.411073,0.588927,Malignant
47f7f480aaa0d2dad2f6a35d9e7b900713f9cebc.tif,0.419853,0.580147,Malignant
48754e8f1ea6e01badd043b50212d2be714c86d4.tif,0.405099,0.594901,Malignant
4934b7e55bd3c92d763c8d493e742a65fb4f2dcf.tif,0.421549,0.578451,Malignant
493c830532c64c7ff782d5aa9fdd1395ae613d68.tif,0.401989,0.598011,Malignant
4951b649cc4af5db8742ae3d46ba127fd0b29574.tif,0.437114,0.562886,Malignant
4968a566ddcd42a467c95939b75d3b2f45e93e45.tif,0.413625,0.586375,Malignant
4990c09a1a1be377c059ec79c17757857de91bb8.tif,0.421851,0.578149,Malignant
499505696e8b635fd7a7427e4f76a8eb5548b03b.tif,0.411279,0.588721,Malignant
499f1e3714c17b7ae8d43a05a8a14681dba3b05d.tif,0.412705,0.587295,Malignant
49a9a4edfcbbbecf69f8a037ee1c0c7d081569de.tif,0.435451,0.56455,Malignant
49dde3a0e7a47c238fa3090fdb9337f8d60180bf.tif,0.415301,0.584699,Malignant
4a463469cf2773e2d374af4183bb51a5746f420f.tif,0.407938,0.592062,Malignant
4a5702e0c9d39b9da039884ffe17bcfb38d3a584.tif,0.399884,0.600116,Malignant
4aa1679fcf5ff41e6dd108cabdd1583b654c7bdc.tif,0.39744,0.60256,Malignant
4acb4eb9bdf2f906550d2a8e4fd9993c80f35ed0.tif,0.422216,0.577784,Malignant
4b16c35f19dea268523207843a98f94f3e3a33f4.tif,0.406227,0.593773,Malignant
4b70256312501f4c76572cdd300fc88fda008f3b.tif,0.418367,0.581633,Malignant
4becc2d6033d7ccec0c0b3a0e9df00b444035d35.tif,0.394808,0.605192,Malignant
4c742e40b39d5029cabad1772bc892112eabfad9.tif,0.421449,0.578551,Malignant
4ce086ca625e5413ece85b45608417d4c69179e3.tif,0.41335,0.58665,Malignant
4d408068b74a3f2edd102cb1851481c10eabeb30.tif,0.416222,0.583778,Malignant
4db6523aec3fda70bd448f259cb9519f329104a6.tif,0.401784,0.598216,Malignant
4de4214fe8cd0859a3b06c005850936a9514013f.tif,0.433409,0.566591,Malignant
4eeb359613e484069bb9beadc6506271211fec63.tif,0.429528,0.570472,Malignant
4f902904b2eabd76ff3f978e08bba20639d9eb67.tif,0.434913,0.565087,Malignant
4f95e44bffa6f5d52db8f79153809d882bff8335.tif,0.411389,0.588611,Malignant
4fc9015cbff58a6f8b0a60517b5cf39101a26fe0.tif,0.409831,0.590169,Malignant
4ff00bbeffbd8d8e89416f6ce2a7cbab7dd384d5.tif,0.418618,0.581382,Malignant
5041b987dfd8152b20da85dd797d2adc6d9e1808.tif,0.430167,0.569833,Malignant
50a6c9a5aa89508c5b92fc5f505b00642f114edc.tif,0.427984,0.572016,Malignant
515350cf2ef89b9bcac15cd1e6c5e845171d6ac7.tif,0.400562,0.599438,Malignant
51a3ec619f2bdc04d19881d4592c74075b013ade.tif,0.407859,0.592141,Malignant
51eff9b264ec14a7bacdbe1a21a00dcf341e299d.tif,0.423947,0.576053,Malignant
51f2fbf6e3e7bf2529b86638d468a04cd1facc25.tif,0.408862,0.591138,Malignant
520434550a839d6a3d7a5fd024d985a9dd679523.tif,0.479493,0.520507,Malignant
526202140870b9b9c35088bd06ee181194abf9d0.tif,0.419795,0.580205,Malignant
526c77f0a4dd16ef4973556d37653007abdbd205.tif,0.435037,0.564963,Malignant
527e414659dffc263dafc578192000ed9996c528.tif,0.434558,0.565442,Malignant
529e8521f15331e5dd48abbe6db027351300c5ab.tif,0.406025,0.593975,Malignant
52dbe3b6fd3af6deb516e53bea87e98f8bd741d2.tif,0.398617,0.601383,Malignant
52e9deae65aa49522b9a3d391e0b25dc8b9b2944.tif,0.431345,0.568655,Malignant
530bb3f36ab6a2bfd6b41e83e08ce486aec06465.tif,0.412919,0.587081,Malignant
5379939752bd68261b87bfd43500c2402d3a54d2.tif,0.4251,0.5749,Malignant
5380f9b0f86100ffec650bc5cbf1605154f9bfc4.tif,0.415673,0.584327,Malignant
53e018969ad17958a08556b1e827b2d32b337cc9.tif,0.41353,0.58647,Malignant
5430b8bc901ce2b63213a3b6347ad7595f6172a9.tif,0.412532,0.587468,Malignant
547b2b899a86783429851c92e591cc9ea9c59900.tif,0.43204,0.56796,Malignant
548b8701abda7b4d2b13b9b72b0bbe219d07ff35.tif,0.440406,0.559594,Malignant
